gene,cluster,cell_type,representative_rank,marker_score,avg_log2FC,pct_in,pct_out,official_gene_name,immune_function,immune_cell_contexts,biological_role,function_tags,pathway_tags,disease_context_tags,publication_count,evidence_grade,grade_explanation,plain_language_note,interpretation_status
AIF1,4,CD16+ non-classical monocytes,7,65.30629906769356,4.8821406,1.0,0.3311714633157681,AIF1,The selected PubMed collection discusses AIF1 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for AIF1, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
SERPINA1,4,CD16+ non-classical monocytes,8,64.15177104825571,4.2461824,0.953216374269006,0.1978111066072152,SERPINA1,The selected PubMed collection discusses SERPINA1 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for SERPINA1, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
CDKN1C,4,CD16+ non-classical monocytes,9,63.05575782215301,6.3716245,0.5029239766081871,0.0081070125658694,CDKN1C,The selected PubMed collection discusses CDKN1C in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,C,Laboratory or animal evidence predominates (1 selected experimental study/studies); repeated human evidence is insufficient.,"Selected PubMed records provide context for CDKN1C, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
CFD,4,CD16+ non-classical monocytes,10,62.712149111096885,4.121818,0.9415204678362572,0.1807863802188893,CFD,The selected PubMed collection discusses CFD in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for CFD, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
GZMB,5,NK cells,1,142.9589095301745,7.890887,0.9738562091503268,0.0680080482897384,granzyme B,Cytotoxic-granule serine protease discussed in perforin-dependent target-cell killing and in perforin-independent extracellular activity.,NK cells; cytotoxic CD8 T cells; context-dependent expression in additional immune cells,Effector protease released from cytotoxic granules; reported substrates and effects vary by cellular and disease context.,cytotoxic granules; target-cell killing; serine protease,perforin–granzyme pathway; programmed cell death,cancer; infection; inflammation,4,B,Multiple human studies: 2 primary human studies; 2 review(s) provide context but do not determine the grade.,"GZMB makes granzyme B, one of the protein tools killer immune cells can release when they attack a target cell.",Deferred to Notebook 08
FGFBP2,5,NK cells,2,115.46234234205232,6.923403,0.8954248366013072,0.0615694164989939,fibroblast growth factor binding protein 2,Frequently used in single-cell studies as an expression marker of mature cytotoxic NK-cell states; a direct immune mechanism is less well established.,Cytotoxic NK cells; some cytotoxic T/NKT-cell states,Literature in this collection primarily treats FGFBP2 as a cell-state marker rather than demonstrating a causal NK-cell mechanism.,cytotoxic cell-state marker; NK-cell heterogeneity,cytotoxic lymphocyte program,melanoma; hepatocellular carcinoma,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"FGFBP2 is often used as a label for a strongly cytotoxic group of NK cells, but its exact immune job is still less clear.",Deferred to Notebook 08
GNLY,5,NK cells,3,114.8268981531016,7.358587,0.915032679738562,0.1348088531187122,granulysin,Cytotoxic and antimicrobial granule protein reported in human NK cells and cytotoxic T cells.,NK cells; cytotoxic CD8 T cells; gamma-delta T cells,"Reported to damage microbial or target-cell membranes, with precursor and mature forms stored in distinct effector-vesicle contexts.",cytotoxic granules; antimicrobial defense; target-cell killing,cytotoxic lymphocyte degranulation; host defense,bacterial infection; pregnancy infection defense,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"GNLY makes granulysin, a protein that some killer immune cells use against microbes and other target cells.",Deferred to Notebook 08
PRF1,5,NK cells,4,112.4117466642469,6.527348,0.9673202614379084,0.1062374245472837,perforin 1,Pore-forming cytotoxic-granule protein required for normal killing by NK cells and cytotoxic T cells.,NK cells; cytotoxic CD8 T cells,Enables cytotoxic granule contents to act on target cells; pathogenic variants can impair lymphocyte cytotoxicity.,cytotoxic granules; pore formation; target-cell killing,perforin–granzyme pathway; lymphocyte cytotoxicity,familial hemophagocytic lymphohistiocytosis,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"PRF1 makes perforin, which helps killer immune cells deliver their attack proteins into a target cell.",Deferred to Notebook 08
NKG7,5,NK cells,5,104.00649376257546,6.985301,1.0,0.255533199195171,natural killer cell granule protein 7,Granule-associated protein studied as a regulator of cytotoxic granule release in NK and T cells.,NK cells; cytotoxic CD8 T cells; selected activated CD4 T-cell states,"Experimental studies report effects on granule exocytosis, target-cell killing, and downstream inflammation.",cytotoxic granules; granule exocytosis; target-cell killing,lymphocyte degranulation; inflammatory signaling,cancer; parasitic infection; inflammation,3,B,Multiple human studies: 2 primary human studies; 0 review(s) provide context but do not determine the grade.,NKG7 helps organize how killer immune cells release packages containing cell-killing proteins.,Deferred to Notebook 08
CST7,5,NK cells,6,90.35358840620192,5.5199547,0.9673202614379084,0.1488933601609658,cystatin F,Immune-enriched cysteine-protease inhibitor that can regulate cathepsins involved in cytotoxic-cell effector pathways.,NK cells; cytotoxic T cells; myeloid cells and microglia in context-dependent states,"Reported to inhibit cathepsin C and other proteases; direction and consequence depend on cell type, processing, and tissue context.",protease inhibition; cytotoxic-cell regulation,cathepsin regulation; immune effector protease processing,glioblastoma; viral neuroinflammation,3,B,Multiple human studies: 2 primary human studies; 0 review(s) provide context but do not determine the grade.,"CST7 makes cystatin F, a protein that can act like a brake on enzymes used by several immune cells.",Deferred to Notebook 08
SPON2,5,NK cells,7,88.51102415214952,6.3301244,0.738562091503268,0.0394366197183098,spondin 2,"Extracellular-matrix protein, also called mindin, studied in innate pattern recognition, leukocyte adhesion, and phagocytosis.",Macrophages and dendritic-cell interactions are best represented in the selected literature; direct NK-cell evidence is limited.,Reported as an extracellular ligand and pattern-recognition molecule in experimental innate-immune models.,pattern recognition; cell adhesion; phagocytosis,innate pathogen recognition; integrin signaling,bacterial infection; innate inflammation,3,C,Laboratory or animal evidence predominates (3 selected experimental study/studies); repeated human evidence is insufficient.,SPON2 makes an outside-the-cell protein that can help innate immune cells recognize and interact with microbes; its NK-cell role is uncertain.,Deferred to Notebook 08
GZMA,5,NK cells,8,88.03307089677938,5.4791713,0.954248366013072,0.1509054325955734,granzyme A,Cytotoxic-lymphocyte serine protease with reported inflammatory and target-cell death activities that differ from granzyme B.,NK cells; cytotoxic CD8 T cells,Granule-released protease; selected studies report context-dependent substrate cleavage and inflammatory or cell-death outcomes.,cytotoxic granules; serine protease; target-cell response,gasdermin-mediated pyroptosis; lymphocyte cytotoxicity,cancer; inflammation,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"GZMA makes granzyme A, another enzyme carried by killer immune cells; it does not always act in the same way as granzyme B.",Deferred to Notebook 08
CCL4,5,NK cells,9,72.80825410704226,5.4314337,0.7450980392156863,0.0748490945674044,C-C motif chemokine ligand 4,Secreted chemokine associated with immune-cell communication and recruitment through chemokine receptors including CCR5.,Activated NK cells; T cells; additional leukocytes depending on context,Acts as a signaling ligand that can help coordinate leukocyte trafficking rather than directly executing target-cell killing.,chemokine signaling; immune-cell recruitment; cell communication,CCR5 chemokine axis; leukocyte trafficking,HIV; HBV; inflammation,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,CCL4 is a chemical message that can help immune cells call or guide other immune cells to an area.,Deferred to Notebook 08
CTSW,5,NK cells,10,68.44443322203549,4.6893544,0.9869281045751634,0.2571428571428571,cathepsin W,Lysosomal cysteine protease enriched in NK cells and cytotoxic T cells; its indispensable substrates and mechanism remain uncertain.,NK cells; cytotoxic CD8 T cells,"Human cell studies report cytotoxic-lymphocyte expression and secretion during target contact, while knockout evidence questions whether it is essential for killing.",lysosomal protease; cytotoxic lymphocyte marker,cysteine-protease regulation; lymphocyte cytotoxicity,immune pathology (limited evidence),3,C,Laboratory or animal evidence predominates (2 selected experimental study/studies); repeated human evidence is insufficient.,"CTSW makes cathepsin W, an enzyme common in killer immune cells, but scientists have not fully settled exactly what it must do.",Deferred to Notebook 08
CCL5,6,Activated/transitional T cells,1,2.03241700338614,2.067858,0.5234375,0.3059760956175298,CCL5,The selected PubMed collection discusses CCL5 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for CCL5, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
IL32,6,Activated/transitional T cells,2,1.7583240078907552,1.3779407,0.765625,0.5414342629482072,IL32,The selected PubMed collection discusses IL32 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for IL32, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
CD3D,6,Activated/transitional T cells,3,1.725987868934483,1.3333517,0.71875,0.5099601593625498,CD3D,The selected PubMed collection discusses CD3D in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for CD3D, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
RPL23A,6,Activated/transitional T cells,4,0.0149560421210194,0.4245826,1.0,0.9908366533864542,RPL23A,The selected PubMed collection discusses RPL23A in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for RPL23A, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
RPS3,6,Activated/transitional T cells,5,0.0136292655385124,0.4754256,1.0,0.995617529880478,RPS3,The selected PubMed collection discusses RPS3 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,C,Laboratory or animal evidence predominates (1 selected experimental study/studies); repeated human evidence is insufficient.,"Selected PubMed records provide context for RPS3, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
RPS12,6,Activated/transitional T cells,6,0.0077749002945644,0.38951433,1.0,0.993227091633466,RPS12,The selected PubMed collection discusses RPS12 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for RPS12, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
MALAT1,6,Activated/transitional T cells,7,0.0066433452641946,0.90225136,1.0,0.999601593625498,MALAT1,The selected PubMed collection discusses MALAT1 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,C,Laboratory or animal evidence predominates (1 selected experimental study/studies); repeated human evidence is insufficient.,"Selected PubMed records provide context for MALAT1, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
RPS25,6,Activated/transitional T cells,8,0.0060431469678657,0.43936184,0.984375,0.9808764940239044,RPS25,The selected PubMed collection discusses RPS25 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for RPS25, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
RPS14,6,Activated/transitional T cells,9,0.0046915148218239,0.3268242,1.0,0.995617529880478,RPS14,The selected PubMed collection discusses RPS14 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for RPS14, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
RPL13,6,Activated/transitional T cells,10,0.0036373999101412,0.35512033,1.0,0.997211155378486,RPL13,The selected PubMed collection discusses RPL13 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for RPL13, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
CCR7,7,Naive/resting T cells,1,24.002753697111523,2.8966832,0.54,0.1256855575868373,CCR7,The selected PubMed collection discusses CCR7 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for CCR7, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
CD3D,7,Naive/resting T cells,2,14.993219074588666,1.829257,0.86,0.4501828153564899,CD3D,The selected PubMed collection discusses CD3D in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for CD3D, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
LDHB,7,Naive/resting T cells,3,12.718891363680685,1.8959795,0.9533333333333334,0.6179159049360147,LDHB,The selected PubMed collection discusses LDHB in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for LDHB, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
PRKCQ-AS1,7,Naive/resting T cells,4,11.50633736025499,2.2133627,0.3977777777777778,0.1215722120658135,PRKCQ-AS1,The selected PubMed collection discusses PRKCQ-AS1 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,C,Laboratory or animal evidence predominates (1 selected experimental study/studies); repeated human evidence is insufficient.,"Selected PubMed records provide context for PRKCQ-AS1, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
NOSIP,7,Naive/resting T cells,5,10.782675018582168,1.7067536,0.6911111111111111,0.3752285191956124,NOSIP,The selected PubMed collection discusses NOSIP in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for NOSIP, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
CD7,7,Naive/resting T cells,6,10.617834632130815,1.6040039,0.6422222222222222,0.3112431444241316,CD7,The selected PubMed collection discusses CD7 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for CD7, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
CD3E,7,Naive/resting T cells,7,10.42237660636604,1.5500287,0.7644444444444445,0.4282449725776965,CD3E,The selected PubMed collection discusses CD3E in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for CD3E, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
PIK3IP1,7,Naive/resting T cells,8,10.006805784229131,1.7662108,0.4866666666666667,0.2033820840950639,PIK3IP1,The selected PubMed collection discusses PIK3IP1 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for PIK3IP1, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
LEF1,7,Naive/resting T cells,9,6.78442897016866,2.0014858,0.3644444444444444,0.1243144424131627,LEF1,The selected PubMed collection discusses LEF1 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for LEF1, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
C6orf48,7,Naive/resting T cells,10,6.782582869896404,1.3390005,0.7555555555555555,0.5022851919561243,C6orf48,The selected PubMed collection discusses C6orf48 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for C6orf48, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
PPBP,8,Platelets,1,68.17994743964287,13.376807,1.0,0.0247430529120669,PPBP,The selected PubMed collection discusses PPBP in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for PPBP, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
PF4,8,Platelets,2,67.04897537540963,12.977622,1.0,0.0114198705748001,PF4,The selected PubMed collection discusses PF4 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,C,Laboratory or animal evidence predominates (1 selected experimental study/studies); repeated human evidence is insufficient.,"Selected PubMed records provide context for PF4, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
GNG11,8,Platelets,3,65.6821704004705,12.698402,1.0,0.0102778835173201,GNG11,The selected PubMed collection discusses GNG11 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for GNG11, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
SDPR,8,Platelets,4,62.03194561340757,12.011179,1.0,0.0118005329272934,SDPR,The selected PubMed collection discusses SDPR in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for SDPR, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
SPARC,8,Platelets,5,58.067192130071696,11.213252,1.0,0.0091358964598401,SPARC,The selected PubMed collection discusses SPARC in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,E,Selected evidence is limited and does not meet the thresholds for grades A–D.,"Selected PubMed records provide context for SPARC, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
CD9,8,Platelets,6,52.00531546683904,10.211339,1.0,0.0255043776170536,CD9,The selected PubMed collection discusses CD9 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for CD9, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
GP9,8,Platelets,7,50.98709684826319,12.469261,0.9090909090909092,0.00228397411496,GP9,The selected PubMed collection discusses GP9 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for GP9, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
ITGA2B,8,Platelets,8,50.896692280826066,12.441929,0.9090909090909092,0.0019033117624666,ITGA2B,The selected PubMed collection discusses ITGA2B in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for ITGA2B, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
HIST1H2AC,8,Platelets,9,49.728730141790365,9.829602,1.0,0.0319756376094404,HIST1H2AC,The selected PubMed collection discusses HIST1H2AC in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,2,C,Laboratory or animal evidence predominates (1 selected experimental study/studies); repeated human evidence is insufficient.,"Selected PubMed records provide context for HIST1H2AC, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
NRGN,8,Platelets,10,45.89056513665057,9.031865,1.0,0.0277883517320137,NRGN,The selected PubMed collection discusses NRGN in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for NRGN, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
