gene,title,journal,year,PMID,DOI,evidence_grade,study_type,summary,evidence_categories,publication_types,mesh_terms
GZMH,Single-cell profiling of peripheral and local immune compartments reveal unique genotype-independent prognostic immune signatures across isocitrate dehydrogenase-stratified glioma.,Neuro-oncology,2026,40974256,10.1093/neuonc/noaf206,B,Human single-cell/transcriptomic study,"PubMed abstract evidence: RESULTS: Our analyses revealed unique intratumoral and peripheral immune cellular ontogenies, including naïve CD4+ T cell enrichment in the IDH-Mut peripheral immune compartment, monocyte enrichment in IDH-WT glioma PBMCs, and emergence of a unique population of GZMH+ CD8+ T cells preferentially in the IDH-Mut microenvironment.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Humans; Isocitrate Dehydrogenase; Glioma; Brain Neoplasms; Prognosis; Single-Cell Analysis; Tumor Microenvironment; Male; Mutation; Female; Biomarkers, Tumor; Middle Aged; Genotype; Adult; Leukocytes, Mononuclear; Aged"
GZMH,Comprehensive single-cell transcriptomic profiling of the scalp from patients with moderate-to-severe alopecia areata.,The Journal of allergy and clinical immunology,2026,41740930,10.1016/j.jaci.2026.02.014,B,Human single-cell/transcriptomic study,"PubMed abstract evidence: LS AA samples demonstrated robust TH1 activation and cytotoxicity, with upregulated IFNG, GZMH/K, and XCL1/2.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,Humans; Alopecia Areata; Scalp; Female; Male; Adult; Transcriptome; Single-Cell Gene Expression Analysis; Gene Expression Profiling; Single-Cell Analysis; Middle Aged; Th1 Cells
GZMK,Comprehensive Profiling of an Aging Immune System Reveals Clonal GZMK+ CD8+ T Cells as Conserved Hallmark of Inflammaging.,Immunity,2021,33271118,10.1016/j.immuni.2020.11.005,B,Human single-cell/transcriptomic study,PubMed abstract evidence: We defined organ-specific and common immune alterations and identified a subpopulation of age-associated granzyme K (GZMK)-expressing CD8+ T (Taa) cells that are distinct from T effector memory (Tem) cells.,Association; Biomarker; Experimental evidence,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","Aging; Animals; CD8-Positive T-Lymphocytes; Cells, Cultured; Clone Cells; Cytotoxicity, Immunologic; Female; Gene Expression Profiling; Granzymes; Humans; Immune System; Immunologic Memory; Inflammation; Mice; Mice, Inbred C57BL; Receptors, Antigen, B-Cell; Receptors, Antigen, T-Cell; Sequence Analysis, RNA; Single-Cell Analysis; Transcriptome"
GZMK,GZMK-expressing CD8+ T cells promote recurrent airway inflammatory diseases.,Nature,2025,39814882,10.1038/s41586-024-08395-9,B,Human and laboratory/animal study,"PubMed abstract evidence: By comparing T cell repertoires in nasal polyp tissues obtained from consecutive surgeries, here we report that persistent CD8+ T cell clones carrying effector memory-like features colonize the mucosal tissue during disease recurrence, and these cells characteristically express the tryptase Granzyme K (GZMK).",Association; Mechanism; Biomarker; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't","CD8-Positive T-Lymphocytes; Animals; Mice; Humans; Recurrence; Nasal Polyps; Female; Male; Granzymes; Asthma; Sinusitis; Immunologic Memory; Inflammation; Mice, Inbred C57BL; Chronic Disease"
GZMK,GZMK+CD8+ T cells: multifaceted roles beyond cytotoxicity.,Trends in immunology,2025,40651883,10.1016/j.it.2025.06.003,B,Review,"PubMed abstract evidence: Among these, granzyme-K-expressing (GZMK+) CD8+ T cells represent a distinct subset characterized by low cytotoxicity but heightened proinflammatory activity, by contrast with their granzyme-B-expressing (GZMB+) counterparts with high cytotoxicity.",Review; Mechanism; Biomarker,"Journal Article; Review; Research Support, Non-U.S. Gov't","Humans; Animals; CD8-Positive T-Lymphocytes; Granzymes; Cytotoxicity, Immunologic; Neoplasms; Inflammation"
HIST1H2AC,Messenger RNA and MicroRNA transcriptomic signatures of cardiometabolic risk factors.,BMC genomics,2017,28178938,10.1186/s12864-017-3533-9,C,Human study,"PubMed abstract evidence: Four mRNAs (FAM13A, CSF2RB, HIST1H2AC, WNK1) were associated with all 6 CM traits (FDR < 0.001) and four miRNAs (miR-197-3p, miR-328, miR-505-5p, miR-145-5p) were associated with four CM traits (FDR < 0.05).",Association; Biomarker; Experimental evidence,"Journal Article; Research Support, N.I.H., Intramural; Research Support, N.I.H., Extramural","Adult; Aged; Cardiovascular Diseases; Cohort Studies; Databases, Genetic; Female; Gene Expression Profiling; Humans; Logistic Models; Male; MicroRNAs; Middle Aged; Phenotype; Prospective Studies; RNA, Messenger; Risk Factors; Transcriptome"
HIST1H2AC,The global clonal complexity of the murine blood system declines throughout life and after serial transplantation.,Blood,2019,30782612,10.1182/blood-2018-09-873059,C,Laboratory/animal study,"PubMed abstract evidence: Whole-exome sequencing of serially transplanted aged and young hematopoietic clones confirmed oligoclonal hematopoiesis and revealed mutations in at least 27 genes, including nonsense, missense, and deletion mutations in Bcl11b, Hist1h2ac, Npy2r, Notch3, Ptprr, and Top2b.",Association; Experimental evidence,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Aging; Animals; Clone Cells; Hematopoiesis; Hematopoietic Stem Cell Transplantation; Hematopoietic Stem Cells; Mice
HLA-DQA1,Genetic Determinants of Colonic Diverticulosis-A Systematic Review.,Genes,2025,40428403,10.3390/genes16050581,B,Review,"PubMed abstract evidence: Identified in GWAS studies, gene candidates may be grouped into blood group and immune system-related genes (ABO, HLA-DQA1, HLA-H, OAS1, TNFSF13, FADD), extracellular matrix and connective tissue genes (COL6A1, COLQ, EFEMP1, ELN, HAS2, TIMP2), signaling and cell communication (BMPR1B, WNT4, RHOU, PHGR1, PCSK5), nervous system and neurodevelopment (BDNF, CACNB2, GPR158, SIRT1, SCAPER, TRPS1), metabolism and...",Review; Mechanism,Journal Article; Systematic Review,"Humans; Diverticulosis, Colonic; Genetic Predisposition to Disease; Genome-Wide Association Study; Tissue Inhibitor of Metalloproteinase-1; Extracellular Matrix; Matrix Metalloproteinase 9; Polymorphism, Single Nucleotide; Collagen Type III"
HLA-DQA1,"Single-cell spatial transcriptomics reveal intraglomerular cell activation and ligand-receptor relationships in chronic, active antibody mediated rejection.",Kidney international,2026,41173191,10.1016/j.kint.2025.08.042,B,Human single-cell/transcriptomic study,"PubMed abstract evidence: Proximity of NK cells and macrophages with GEC revealed several potential ligand receptor interactions previously unappreciated, including GEC IL33→NK cell IL1RL1 and GEC HLA-DQA1→Macrophage FCGR3A, implicating NK cell and macrophage activation in endothelial injury.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Humans; Graft Rejection; Kidney Transplantation; Single-Cell Analysis; Macrophages; Endothelial Cells; Killer Cells, Natural; Kidney Glomerulus; Transcriptome; Male; Female; Gene Expression Profiling; Ligands; Middle Aged; Adult; Biopsy"
HLA-DQA1,Population and single-cell analyses reveal immune cell-specific expression profiles associated with Alzheimer's disease risk.,Alzheimer's & dementia : the journal of the Alzheimer's Association,2026,41866337,10.1002/alz.71282,B,Human single-cell/transcriptomic study,"PubMed abstract evidence: Expression of BIN1, CTSW, CTSH, HLA-DRB1, TSTD1, PLEKHA1, and SCIMP increased AD risk, while EPHA1-AS1, FCER1G, FIBP, KAT8, STX4, and HLA-DQA1 reduced it.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,Alzheimer Disease; Humans; Genome-Wide Association Study; Brain; Single-Cell Analysis; Genetic Predisposition to Disease; Mendelian Randomization Analysis; Quantitative Trait Loci; Transcriptome
HLA-DQB1,Association of HLA-DRB1 and HLA-DQB1 with red-blood-cell alloimmunization in the Czech population.,Vox sanguinis,2017,28052334,10.1111/vox.12478,B,Human study,PubMed abstract evidence: HLA-DRB1 and HLA-DQB1 variants were determined by PCR-SSO and their frequencies compared between the patients (patient subgroups) and 375 ethnically and regionally matched controls.,Association; Experimental evidence,Journal Article,Adult; Alleles; Czech Republic; Erythrocytes; Female; Gene Frequency; Genotype; HLA-DQ beta-Chains; HLA-DRB1 Chains; Haplotypes; Humans; Isoantibodies; Male; Pregnancy
HLA-DQB1,Unraveling the pathophysiology of narcolepsy type 1 through hypothesis-driven and hypothesis-generating approaches.,Seminars in immunology,2025,40373365,10.1016/j.smim.2025.101962,B,Review,"PubMed abstract evidence: Given the genetic association with the HLA-DQB1 * 06:02 allele and environmental links with the 2009 influenza pandemic, many lines of evidence point towards an immune mechanism, notably autoimmunity, underlying the disease pathophysiology.",Review; Mechanism,"Journal Article; Review; Research Support, Non-U.S. Gov't","Humans; Narcolepsy; Animals; Autoimmunity; Orexins; HLA-DQ beta-Chains; T-Lymphocytes; Neurons; Disease Models, Animal"
HLA-DQB1,HLA-DQB1*03:01 strongly affects age of onset of type 1 narcolepsy independently of DQA1 and ethnicity.,Proceedings of the National Academy of Sciences of the United States of America,2025,41364757,10.1073/pnas.2513989122,B,Human single-cell/transcriptomic study,"PubMed abstract evidence: In contrast, HLA-DQB1*06:02-positive heterodimer (DQ0602) dosage did not strongly affect onset, and other known narcolepsy-associated genetic loci had minor effects.",Association; Biomarker; Experimental evidence,Journal Article,"Adult; Female; Humans; Male; Age of Onset; Alleles; Ethnicity; Genetic Predisposition to Disease; Genome-Wide Association Study; HLA-DQ alpha-Chains; HLA-DQ beta-Chains; Narcolepsy; Polymorphism, Single Nucleotide"
HLA-DRA,Early peripheral blood MCEMP1 and HLA-DRA expression predicts COVID-19 prognosis.,EBioMedicine,2023,36801619,10.1016/j.ebiom.2023.104472,B,Review,"PubMed abstract evidence: FINDINGS: The most consistent differentially regulated genes in peripheral blood of severe COVID-19 patients were MCEMP1, HLA-DRA and ETS1 across the 7 transcriptomics datasets.",Review; Mechanism; Biomarker,Systematic Review; Journal Article,"Humans; Aged; HLA-DR alpha-Chains; COVID-19; SARS-CoV-2; Leukocytes, Mononuclear; Prognosis"
HLA-DRA,Single-cell RNA sequencing of chronic idiopathic erythroderma defines disease-specific markers.,The Journal of allergy and clinical immunology,2025,39694280,10.1016/j.jaci.2024.11.037,B,Human single-cell/transcriptomic study,"PubMed abstract evidence: While patients with CIE and eCTCL lacked the strong type 2 or type 17 immune skewing typically found in atopic dermatitis or psoriasis, respectively, they were characterized by upregulation of MHC II genes (HLA-DRB1, HLA-DRA, and CD74) in keratinocytes and fibroblasts, most likely in an IFN-γ-dependent fashion.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Humans; Dermatitis, Exfoliative; Male; Single-Cell Analysis; Female; Middle Aged; Adult; Sequence Analysis, RNA; Chronic Disease; Biomarkers; Aged; Lymphoma, T-Cell, Cutaneous; Psoriasis; Skin"
HLA-DRA,A spatially resolved transcriptome landscape during thyroid cancer progression.,Cell reports. Medicine,2025,40157360,10.1016/j.xcrm.2025.102043,B,Human single-cell/transcriptomic study,"PubMed abstract evidence: Our integrative analysis reveals extensive molecular and cellular heterogeneity during thyroid cancer progression, enabling the identification of three distinct thyrocyte meta-clusters, including TG+IYG+ subpopulation in PT, HLA-DRB1+HLA-DRA+ subpopulation in early cancerous stages, and APOE+APOC1+ subpopulation in late-stage progression.",Association; Biomarker; Experimental evidence,Journal Article,"Humans; Thyroid Neoplasms; Disease Progression; Tumor Microenvironment; Transcriptome; Gene Expression Regulation, Neoplastic; Thyroid Cancer, Papillary; Thyroid Carcinoma, Anaplastic; Plasminogen Activator Inhibitor 1; Prognosis"
IFITM3,Immune system disturbances in schizophrenia.,Biological psychiatry,2014,23890736,10.1016/j.biopsych.2013.06.010,C,Review,PubMed abstract evidence: Recent data suggest that IFITM3 expression is a critical mediator of maternal immune activation.,Review; Mechanism; Biomarker,"Journal Article; Research Support, N.I.H., Extramural; Review","Animals; Anti-Inflammatory Agents; Brain; Female; Genetic Predisposition to Disease; Humans; Maternal Exposure; Membrane Proteins; Pregnancy; Pregnancy Complications, Infectious; RNA-Binding Proteins; Schizophrenia; Serpins; Transcriptome"
IFITM3,IFITM3 enhances immunosensitivity via MHC-I regulation and is associated with the efficacy of anti-PD-1/-L1 therapy in SCLC.,Molecular cancer,2025,40611157,10.1186/s12943-025-02383-x,C,Human single-cell/transcriptomic study,PubMed abstract evidence: Clinical data from SCLC patients treated with PD-1/PD-L1 inhibitors were used to investigate the associations between treatment efficacy and IFITM3 expression.,Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Humans; Small Cell Lung Carcinoma; Lung Neoplasms; Animals; Membrane Proteins; RNA-Binding Proteins; Mice; Gene Expression Regulation, Neoplastic; Programmed Cell Death 1 Receptor; Immune Checkpoint Inhibitors; B7-H1 Antigen; Cell Line, Tumor; Histocompatibility Antigens Class I; Xenograft Model Antitumor Assays; Female; Male; Biomarkers, Tumor"
IFITM3,Periodontitis-induced neuroinflammation triggers IFITM3-Aβ axis to cause alzheimer's disease-like pathology and cognitive decline.,Alzheimer's research & therapy,2025,40684176,10.1186/s13195-025-01818-3,C,Laboratory/animal study,"PubMed abstract evidence: Recently, interferon-induced transmembrane protein 3 (IFITM3), an inflammation-induced innate immunity protein, was identified as a novel γ-secretase modulatory protein for Aβ production in AD.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Animals; Alzheimer Disease; Mice; Amyloid beta-Peptides; Periodontitis; Cognitive Dysfunction; Membrane Proteins; Mice, Inbred C57BL; Neuroinflammatory Diseases; Astrocytes; Porphyromonas gingivalis; RNA-Binding Proteins; Male; Mice, Transgenic; Disease Models, Animal; Brain; Microglia; Antigens, Differentiation"
IL32,Pericytes Modulate Third-Generation Tyrosine Kinase Inhibitor Sensitivity in EGFR-Mutated Lung Cancer Cells Through IL32-β5-Integrin Paracrine Signaling.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2024,39435643,10.1002/advs.202405130,A,Human single-cell/transcriptomic study,"PubMed abstract evidence: The study shows that PCs isolated from EGFR-mutated patients have a unique secretome profile, notably secreting IL32 and affecting signaling pathways and biological processes linked to TKI sensitivity.",Association; Mechanism; Biomarker; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't","Humans; Lung Neoplasms; Pericytes; ErbB Receptors; Paracrine Communication; Protein Kinase Inhibitors; Animals; Mice; Interleukins; Cell Line, Tumor; Mutation; Signal Transduction; Disease Models, Animal; Tyrosine Kinase Inhibitors; Integrins"
IL32,"Advancing personalized, predictive, and preventive medicine in bladder cancer: a multi-omics and machine learning approach for novel prognostic modeling, immune profiling, and therapeutic target discovery.",Frontiers in immunology,2025,40330458,10.3389/fimmu.2025.1572034,A,Human single-cell/transcriptomic study,"PubMed abstract evidence: RESULTS: The ICDRS, based on eight key genes (IL32, AHNAK, ANXA5, FN1, GSN, CNN3, FXYD3, CTSS), effectively stratified BLCA patients into high- and low-risk groups with significant differences in overall survival (OS, P < 0.001).",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Humans; Urinary Bladder Neoplasms; Machine Learning; Tumor Microenvironment; Prognosis; Precision Medicine; Biomarkers, Tumor; Gene Expression Profiling; Single-Cell Analysis; Gene Expression Regulation, Neoplastic; Female; Male; Computational Biology; Multiomics"
IL32,Acute Respiratory Distress Syndrome Molecular Phenotypes Have Distinct Lower Respiratory Tract Transcriptomes.,American journal of respiratory and critical care medicine,2025,40997225,10.1164/rccm.202407-1454OC,A,Human single-cell/transcriptomic study,"PubMed abstract evidence: Eighteen genes were reproducibly differentially expressed between phenotypes in both cohorts, including greater expression of IL32, HSPA8, and PPP3CC in hyperinflammatory ARDS.",Association; Mechanism; Biomarker; Experimental evidence,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Humans; Respiratory Distress Syndrome; Phenotype; Transcriptome; COVID-19; Male; Female; Middle Aged; Aged; SARS-CoV-2; Adult
IL7R,Lrp10 suppresses IL7R limiting CD8 T cell homeostatic expansion and anti-tumor immunity.,EMBO reports,2024,38956225,10.1038/s44319-024-00191-w,A,Human and laboratory/animal study,"PubMed abstract evidence: T-cell activation induces Lrp10 expression, which post-translationally suppresses IL7 receptor (IL7R) levels.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Animals; CD8-Positive T-Lymphocytes; Mice; Homeostasis; Receptors, Interleukin-7; LDL-Receptor Related Proteins; Signal Transduction; Lymphocyte Activation; Mice, Knockout; Mice, Inbred C57BL; Immunologic Memory; Neoplasms; Humans"
IL7R,Single-Cell Transcriptomic Profile of Innate Cell Populations in Mesenteric Lymph Nodes of Inflammatory Bowel Disease Patients.,Inflammatory bowel diseases,2025,39982469,10.1093/ibd/izaf017,A,Human single-cell/transcriptomic study,"PubMed abstract evidence: Among NK/ILC clusters, we identified a cytotoxic ILC subset (IL7R, KLRD1, GNLY), previously not reported in MLNs, reminiscent of cytotoxic ILC1-like cells found in inflamed gut mucosa.",Association; Biomarker; Experimental evidence,Journal Article,"Humans; Immunity, Innate; Lymph Nodes; Dendritic Cells; Female; Transcriptome; Male; Single-Cell Analysis; Adult; Middle Aged; Mesentery; Macrophages; Inflammatory Bowel Diseases; Monocytes; Crohn Disease; Killer Cells, Natural; Colitis, Ulcerative; Gene Expression Profiling"
IL7R,A single-cell and spatial genomics atlas of human skin fibroblasts reveals shared disease-related fibroblast subtypes across tissues.,Nature immunology,2025,40993240,10.1038/s41590-025-02267-8,A,Human single-cell/transcriptomic study,"PubMed abstract evidence: The second, F6: inflammatory myofibroblasts (IL11+MMP1+CXCL8+IL7R+), characterizes early human skin wounds, inflammatory diseases with scarring risk and cancer.",Association; Biomarker; Experimental evidence,Journal Article,Humans; Fibroblasts; Skin; Single-Cell Analysis; Skin Diseases; Genomics; Myofibroblasts
ITGA2B,Identification of ITGA2B and ITGB3 Single-Nucleotide Polymorphisms and Their Influences on the Platelet Function.,BioMed research international,2016,27965976,10.1155/2016/5675084,B,Human study,PubMed abstract evidence: The aim of the study was to investigate ITGA2B and ITGB3 genetic polymorphisms and to evaluate the variability in the platelet function in healthy Chinese subjects.,Association; Experimental evidence,Journal Article,"Adolescent; Adult; Alleles; Asian People; Bleeding Time; Blood Coagulation; Blood Platelets; Fibrinogen; Genotype; Humans; Integrin alpha2; Integrin beta3; Mean Platelet Volume; Middle Aged; Open Reading Frames; Platelet Aggregation; Polymorphism, Single Nucleotide; Prothrombin Time; Young Adult"
ITGA2B,ITGA2B/ITGB3-Related Macrothrombocytopenia Associated With Gain-of-Function Mutations in ITGA2B or ITGB3 Genes.,Journal of cellular and molecular medicine,2026,41503871,10.1111/jcmm.70988,B,Review,"PubMed abstract evidence: While classical GT typically exhibits normal platelet counts and morphology, very rare mutations in ITGA2B (encoding αIIb) and/or ITGB3 (encoding β3) cause macrothrombocytopenia or increased platelet anisotropy (heterogeneity of platelet size and morphology).",Review,Journal Article; Review,Humans; Integrin alpha2; Thrombocytopenia; Integrin beta3; Gain of Function Mutation; Blood Platelets; Thrombasthenia; Animals; Platelet Glycoprotein GPIIb-IIIa Complex
ITGA2B,A CREM-ITGA2B-MAPK axis drives proliferation and invasiveness in gastric cancer: insights from single-cell analysis.,"Cellular oncology (Dordrecht, Netherlands)",2026,41944931,10.1007/s13402-026-01189-3,B,Human single-cell/transcriptomic study,PubMed abstract evidence: CREM activation promotes aggressive tumor phenotypes and correlates with poorer patient outcomes by regulating the ITGA2B promoter and MAPK signaling pathway.,Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Humans; Stomach Neoplasms; Cell Proliferation; Single-Cell Analysis; Neoplasm Invasiveness; Tumor Microenvironment; Gene Expression Regulation, Neoplastic; Integrin alpha2; Cell Line, Tumor; MAP Kinase Signaling System; Single-Cell Gene Expression Analysis"
KLRG1,KLRG1 Cell Depletion as a Novel Therapeutic Strategy in Patients with Mature T-Cell Lymphoma Subtypes.,Clinical cancer research : an official journal of the American Association for Cancer Research,2024,38252421,10.1158/1078-0432.CCR-23-3504,B,Human and laboratory/animal study,"PubMed abstract evidence: EXPERIMENTAL DESIGN: Primary specimens, cell lines, patient-derived xenograft models, commercially available, and proprietary anti-KLRG1 antibodies were used for screening, target, and functional validation.",Association; Mechanism; Experimental evidence,Journal Article,"Animals; Humans; Mice; Antibodies, Monoclonal; Cell Line, Tumor; Killer Cells, Natural; Lectins, C-Type; Lymphoma, T-Cell; Receptors, Immunologic; Xenograft Model Antitumor Assays"
KLRG1,T cell dynamics with neoadjuvant immunotherapy in head and neck cancer.,Nature reviews. Clinical oncology,2025,39658611,10.1038/s41571-024-00969-w,B,Review,"PubMed abstract evidence: Analyses of systemic responses have defined a PD-1+KLRG1- circulating CD8+ T cell subpopulation that is highly predictive of response, and revealed the interrelationships between intratumoural clones and circulating CD8+ T cells.",Review; Mechanism,Journal Article; Review,Humans; Neoadjuvant Therapy; Head and Neck Neoplasms; Immune Checkpoint Inhibitors; Squamous Cell Carcinoma of Head and Neck; CD8-Positive T-Lymphocytes; Immunotherapy; T-Lymphocytes
KLRG1,KLRG1 identifies regulatory T cells with mitochondrial alterations that accumulate with aging.,Nature aging,2025,40307497,10.1038/s43587-025-00855-9,B,Human single-cell/transcriptomic study,PubMed abstract evidence: Our analysis identifies a subpopulation of regulatory T (Treg) cells that is characterized by the extracellular expression of the co-inhibitory molecule killer cell lectin-like receptor subfamily G member 1 (KLRG1) and accumulates with aging in humans and mice.,Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Animals; T-Lymphocytes, Regulatory; Aging; Mice; Lectins, C-Type; Receptors, Immunologic; Mitochondria; Humans; Cellular Senescence; Mice, Inbred C57BL; Male; Female; Flow Cytometry; Single-Cell Analysis"
LDHB,"Identify metabolism-related genes IDO1, ALDH2, NCOA2, SLC7A5, SLC3A2, LDHB, and HPRT1 as potential prognostic markers and correlate with immune infiltrates in head and neck squamous cell carcinoma.",Frontiers in immunology,2022,36090994,10.3389/fimmu.2022.955614,A,Human study,"PubMed abstract evidence: Overall survival analysis showed that upregulated genes CD276, LDHB, SLC3A2, EGFR, SLC7A5, and HPRT1 are potential unfavorable prognostic markers in HNSCC, while downregulated genes EEA1, IDO1, NCOA2, REST, CCL19, and ALDH2 are potential favorable prognostic markers in HNSCC.",Association; Mechanism; Biomarker; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't","Aldehyde Dehydrogenase, Mitochondrial; B7 Antigens; Carcinoma, Squamous Cell; Fusion Regulatory Protein 1, Heavy Chain; Head and Neck Neoplasms; Humans; Large Neutral Amino Acid-Transporter 1; Nuclear Receptor Coactivator 2; Prognosis; Squamous Cell Carcinoma of Head and Neck; Tumor Microenvironment"
LDHB,1-Pyrroline-5-carboxylate inhibit T cell glycolysis in prostate cancer microenvironment by SHP1/PKM2/LDHB axis.,Cell communication and signaling : CCS,2024,38326896,10.1186/s12964-024-01493-1,A,Human and laboratory/animal study,"PubMed abstract evidence: RESULT: PKM2 and LDHB bind SHP1 in T cells, and P5C could increase the levels of p-PKM2 while having no effect on the levels of PKM2 and LDHB.",Association; Mechanism; Biomarker; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't","Humans; Male; Animals; T-Lymphocytes; Prostate; Tumor Microenvironment; Prostatic Neoplasms; Cell Proliferation; Glycolysis; Cell Line, Tumor; Pyrroles"
LDHB,HMOX1-LDHB interaction promotes ferroptosis by inducing mitochondrial dysfunction in foamy macrophages during advanced atherosclerosis.,Developmental cell,2025,39731912,10.1016/j.devcel.2024.12.011,A,Human single-cell/transcriptomic study,"PubMed abstract evidence: Mechanically, upregulated heme oxygenase 1 (HMOX1)-lactate dehydrogenase B (LDHB) interaction enables Lon peptidase 1 (LONP1) to degrade mitochondrial transcription factor A (TFAM), leading to mitochondrial dysfunction and ferroptosis.",Association; Mechanism; Biomarker; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't","Ferroptosis; Atherosclerosis; Animals; Mitochondria; Heme Oxygenase-1; Mice; Humans; Reactive Oxygen Species; L-Lactate Dehydrogenase; Foam Cells; Mice, Inbred C57BL; Macrophages; Male; Membrane Proteins"
LEF1,TCF1 in T cell immunity: a broadened frontier.,Nature reviews. Immunology,2022,34127847,10.1038/s41577-021-00563-6,B,Review,PubMed abstract evidence: TCF1 and its homologue LEF1 are historically known as effector transcription factors downstream of the WNT signalling pathway and are essential for early T cell development.,Review; Mechanism; Biomarker,Journal Article; Review,"CD8-Positive T-Lymphocytes; Cell Differentiation; Epigenesis, Genetic; Gene Expression Regulation; Hepatocyte Nuclear Factor 1-alpha; Humans"
LEF1,TCF1-LEF1 co-expression identifies a multipotent progenitor cell (TH2-MPP) across human allergic diseases.,Nature immunology,2024,38589618,10.1038/s41590-024-01803-2,B,Human single-cell/transcriptomic study,"PubMed abstract evidence: To understand these divergent outcomes, we employed bioinformatic, immunophenotyping and functional approaches with human diseased tissues, identifying an abundant population of type 2 helper T (TH2) cells with co-expression of TCF7 and LEF1, and features of chronic activation.",Association; Mechanism; Biomarker; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural","Humans; Lymphoid Enhancer-Binding Factor 1; Th2 Cells; Hepatocyte Nuclear Factor 1-alpha; Hypersensitivity; Multipotent Stem Cells; T-Lymphocytes, Regulatory; Cell Differentiation; Cytokines; Thymic Stromal Lymphopoietin; Animals; Cells, Cultured; Mice; T Cell Transcription Factor 1"
LEF1,LEF1 and niche factors determine T cell stemness across chronic diseases.,Cell,2026,42385703,10.1016/j.cell.2026.06.022,B,Human and laboratory/animal study,"PubMed abstract evidence: Using preclinical models of autoimmune type 1 diabetes and chronic infection, we discover that a small subset of TCF1hi T cells express the TF LEF1.",Association; Mechanism; Experimental evidence,Journal Article,"Lymphoid Enhancer-Binding Factor 1; Animals; Mice; Diabetes Mellitus, Type 1; Chronic Disease; Stem Cell Niche; T-Lymphocytes; Hepatocyte Nuclear Factor 1-alpha; Cell Differentiation; Stem Cells; Humans"
LGALS2,Galectin-2 (LGALS2) 3279C/T polymorphism may be independently associated with diastolic blood pressure in patients with rheumatoid arthritis.,"Clinical and experimental hypertension (New York, N.Y. : 1993)",2009,19330599,10.1080/10641960802621267,B,Human study,PubMed abstract evidence: The galectin-2 (LGALS2) 3279 C/T single nucleotide polymorphism (SNP) has recently been associated with myocardial infarction (MI).,Association; Mechanism; Biomarker; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't","Aged; Arthritis, Rheumatoid; Blood Pressure; Female; Galectin 2; Genotype; Humans; Hypertension; Male; Middle Aged; Myocardial Infarction; Polymorphism, Single Nucleotide; Prevalence; Risk Factors"
LGALS2,Identification of Risk Genes Associated with Myocardial Infarction-Big Data Analysis and Literature Review.,International journal of molecular sciences,2022,36499335,10.3390/ijms232315008,B,Review,"PubMed abstract evidence: The most important genes increasing the risk for AMI are lymphotoxin-a gene (LTA), LGALS2, LDLR, and APOA5.",Review,Journal Article; Review,Humans; Myocardial Infarction; Lymphotoxin-alpha; Galectin 2; Data Analysis; Risk Factors
LGALS2,Deciphering the role of LGALS2: insights into tertiary lymphoid structure-associated dendritic cell activation and immunotherapeutic potential in breast cancer patients.,Molecular cancer,2024,39350165,10.1186/s12943-024-02126-4,B,Human single-cell/transcriptomic study,"PubMed abstract evidence: Here, we performed an integrated analysis of bulk transcriptome data from over 6000 BRCA samples using biological network-based computational strategies and machine learning (ML) methods, and identified LGALS2 as a key marker within TLSs.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Animals; Female; Humans; Mice; Biomarkers, Tumor; Breast Neoplasms; Dendritic Cells; Galectin 2; Gene Expression Regulation, Neoplastic; Immunotherapy; Prognosis; Single-Cell Analysis; Tertiary Lymphoid Structures; Tumor Microenvironment"
